1.6986,1.86815,1.88798,3.49373,
4.9981,4.64667,0.534123,3.52051,
4.33854,2.36303,1.58731,2.88823,
2.72167,0.487263,1.08737,2.86128,
2.03355,0.138266,3.28027,1.79867,
3.08879,2.53292,0.347808,0.709181,
0.960148,1.91091,3.95957,0.395803,
2,1.63501,4.05858,3.78321,
3.56,1.9107,4.39805,2.77298,
2.63283,3.36421,4.44343,0.637396,
1.6986,1.86815,1.88798,3.49373,
5.12137,2.32781,4.12671,2.55059,
4.33854,2.36303,1.58731,2.88823,
2.72167,0.487263,1.08737,2.86128,
2.03355,0.138266,3.28027,1.79867,
3.08879,2.53292,0.347808,0.709181,
0.960148,1.91091,3.95957,0.395803,
2,1.63501,4.05858,3.78321,
4.8289,5.83814,4.58261,3.12529,
2.63283,3.36421,4.44343,0.637396,
1.9842,1.87569,3.58683,3.39903,
5.12137,2.32781,4.12671,2.55059,
4.33854,2.36303,1.58731,2.88823,
2.72167,0.487263,1.08737,2.86128,
2.03355,0.138266,3.28027,1.79867,
3.08879,2.53292,0.347808,0.709181,
0.960148,1.91091,3.95957,0.395803,
1.79465,1.55907,2.89289,3.38412,
4.8289,5.83814,4.58261,3.12529,
2.63283,3.36421,4.44343,0.637396,
1.9842,1.87569,3.58683,3.39903,
5.12137,2.32781,4.12671,2.55059,
4.33854,2.36303,1.58731,2.88823,
2.72167,0.487263,1.08737,2.86128,
1.63989,1.56558,4.0923,0.448076,
3.08879,2.53292,0.347808,0.709181,
1.66355,1.39995,3.9319,1.03324,
1.79465,1.55907,2.89289,3.38412,
4.8289,5.83814,4.58261,3.12529,
2.63283,3.36421,4.44343,0.637396,
1.9842,1.87569,3.58683,3.39903,
5.12137,2.32781,4.12671,2.55059,
4.33854,2.36303,1.58731,2.88823,
2.72167,0.487263,1.08737,2.86128,
1.63989,1.56558,4.0923,0.448076,
3.56534,2.2213,5.47675,1.04767,
2.55564,1.80535,1.94661,0.571455,
1.79465,1.55907,2.89289,3.38412,
4.8289,5.83814,4.58261,3.12529,
2.63283,3.36421,4.44343,0.637396,
1.9842,1.87569,3.58683,3.39903,
5.12137,2.32781,4.12671,2.55059,
4.60956,0.948541,1.59751,2.8549,
4.8186,0.967939,1.4324,2.89088,
1.63989,1.56558,4.0923,0.448076,
3.56534,2.2213,5.47675,1.04767,
2.55564,1.80535,1.94661,0.571455,
1.79465,1.55907,2.89289,3.38412,
4.8289,5.83814,4.58261,3.12529,
2.63283,3.36421,4.44343,0.637396,
1.9842,1.87569,3.58683,3.39903,
5.12137,2.32781,4.12671,2.55059,
4.60956,0.948541,1.59751,2.8549,
4.8186,0.967939,1.4324,2.89088,
1.63989,1.56558,4.0923,0.448076,
3.59866,1.70026,3.97321,3.25581,
2.55564,1.80535,1.94661,0.571455,
1.79465,1.55907,2.89289,3.38412,
4.8289,5.83814,4.58261,3.12529,
2.63283,3.36421,4.44343,0.637396,
